Temperature,Humidity,Rainfall,Crop,Jenis_Tanah
20.879744,82.002744,202.935536,Rice,Andosol
21.770462,80.319644,226.655537,Rice,Vulkanik
23.004459,82.320763,263.964248,Rice,Andosol
26.491096,80.158363,242.864034,Rice,Vulkanik
20.130175,81.604873,262.717341,Rice,Andosol
23.058049,83.370118,251.055,Rice,Vulkanik
22.708838,82.639414,271.32486,Rice,Andosol
20.277744,82.894086,241.974195,Rice,Vulkanik
24.515881,83.535216,230.446236,Rice,Andosol
23.223974,83.033227,221.209196,Rice,Vulkanik
26.527235,81.417538,264.61487,Rice,Andosol
23.978982,81.450616,250.083234,Rice,Vulkanik
26.800796,80.886848,284.436457,Rice,Andosol
24.014976,82.056872,185.277339,Rice,Vulkanik
25.665852,80.66385,209.586971,Rice,Andosol
24.282094,80.300256,231.086335,Rice,Vulkanik
21.587118,82.788371,276.655246,Rice,Andosol
23.79392,80.41818,206.261186,Rice,Vulkanik
21.865252,80.192301,224.555017,Rice,Andosol
23.579436,83.587603,291.298662,Rice,Vulkanik
21.325042,80.474764,185.497473,Rice,Andosol
25.157455,83.117135,231.384316,Rice,Vulkanik
21.947667,80.973842,213.356092,Rice,Andosol
21.052536,82.678395,233.107582,Rice,Vulkanik
23.483813,81.332651,224.058116,Rice,Andosol
25.075635,80.523891,257.003887,Rice,Vulkanik
26.359272,84.044036,271.358614,Rice,Andosol
24.529227,80.544986,260.263403,Rice,Vulkanik
20.775761,84.497744,240.081065,Rice,Andosol
22.301574,80.644165,197.979122,Rice,Vulkanik
21.44654,84.94376,272.20172,Rice,Andosol
22.179319,80.331272,200.088279,Rice,Vulkanik
24.527837,82.736856,224.675723,Rice,Andosol
20.267076,81.638952,270.441727,Rice,Vulkanik
25.735429,83.882662,233.132137,Rice,Andosol
26.795339,82.148087,193.347399,Rice,Vulkanik
26.757542,81.17734,272.299906,Rice,Andosol
23.863305,83.152508,285.249365,Rice,Vulkanik
21.019447,82.952217,298.401847,Rice,Andosol
24.172988,83.728757,257.034355,Rice,Vulkanik
22.781338,82.067191,248.718323,Rice,Andosol
25.629801,83.528423,209.900198,Rice,Vulkanik
25.597049,80.145093,200.834898,Rice,Andosol
23.830675,84.813601,298.560118,Rice,Vulkanik
26.313555,82.36699,265.535594,Rice,Andosol
24.897282,80.525861,183.679321,Rice,Vulkanik
24.958779,84.479634,196.956001,Rice,Andosol
23.241135,84.592018,233.045346,Rice,Vulkanik
21.666283,80.709606,210.814209,Rice,Andosol
24.635449,80.41363,253.720278,Rice,Vulkanik
23.431219,83.063101,219.904835,Rice,Andosol
20.045414,80.347756,208.581016,Rice,Vulkanik
23.85724,82.22573,195.094831,Rice,Andosol
21.971994,81.899182,227.363701,Rice,Vulkanik
26.229169,83.836258,286.508373,Rice,Andosol
23.446768,84.793524,283.933847,Rice,Vulkanik
25.655535,83.470211,217.378858,Rice,Andosol
24.443455,82.454326,267.976195,Rice,Vulkanik
20.280194,82.123542,191.953574,Rice,Andosol
21.723831,80.23899,277.962619,Rice,Vulkanik
20.41447,82.208026,245.15113,Rice,Andosol
25.755286,83.518271,245.66268,Rice,Vulkanik
20.615214,83.773456,279.545172,Rice,Andosol
21.841069,80.728864,202.383832,Rice,Vulkanik
20.083696,83.291147,263.637218,Rice,Andosol
24.458021,82.748356,182.561632,Rice,Vulkanik
21.143475,80.335029,198.673094,Rice,Andosol
25.787206,82.11124,243.512041,Rice,Vulkanik
23.641248,80.285979,263.11033,Rice,Andosol
23.431916,80.568878,269.503916,Rice,Vulkanik
24.976695,83.891805,204.800185,Rice,Andosol
22.72791,82.170688,260.887506,Rice,Vulkanik
24.873007,82.840226,295.609449,Rice,Andosol
21.323763,83.003205,192.319754,Rice,Vulkanik
26.294655,84.569193,257.491491,Rice,Andosol
22.228698,81.858729,278.079179,Rice,Vulkanik
26.730724,81.785968,280.404439,Rice,Andosol
24.889212,81.979271,185.946143,Rice,Vulkanik
26.884449,81.460337,194.576656,Rice,Andosol
22.678461,83.728744,200.913316,Rice,Vulkanik
26.088679,80.379799,182.90435,Rice,Andosol
25.429775,82.946826,195.357454,Rice,Vulkanik
26.403232,81.056355,223.367188,Rice,Andosol
26.04372,84.969072,186.753677,Rice,Vulkanik
25.282722,80.543728,220.115671,Rice,Andosol
22.085766,83.470383,231.736496,Rice,Vulkanik
23.286172,81.433216,242.317063,Rice,Andosol
25.48592,81.406335,182.654936,Rice,Vulkanik
23.675754,81.035693,233.703498,Rice,Andosol
20.824771,84.134188,230.224222,Rice,Vulkanik
26.929951,81.914112,290.679378,Rice,Andosol
23.835095,83.883871,241.201351,Rice,Vulkanik
26.528728,80.122675,218.916357,Rice,Andosol
26.464283,83.856427,248.225649,Rice,Vulkanik
22.696578,82.810889,256.996476,Rice,Andosol
22.683191,83.463583,194.265172,Rice,Vulkanik
21.533463,82.140041,295.92488,Rice,Andosol
21.408658,83.329319,287.576694,Rice,Vulkanik
26.543481,84.673536,183.622266,Rice,Andosol
23.359054,83.595123,188.413665,Rice,Vulkanik
22.6136,63.690706,87.759539,Maize,Lempung
26.100184,71.574769,102.266245,Maize,Alluvial
23.558821,71.593514,66.719955,Maize,Lempung
19.97216,57.682729,60.651715,Maize,Alluvial
18.478913,62.695039,65.438354,Maize,Lempung
21.776893,57.808406,102.086169,Maize,Alluvial
25.621717,66.504155,105.46547,Maize,Lempung
25.191924,66.69029,78.066396,Maize,Alluvial
20.416831,62.554248,65.277985,Maize,Lempung
24.921622,66.786274,109.216228,Maize,Alluvial
23.316891,73.454154,94.297128,Maize,Lempung
24.840167,68.358457,74.054749,Maize,Alluvial
22.275267,58.840159,63.870206,Maize,Lempung
18.877514,65.768161,94.761894,Maize,Alluvial
25.190087,60.200169,72.123756,Maize,Lempung
18.254054,55.282204,63.723582,Maize,Alluvial
24.612912,70.416244,104.162615,Maize,Lempung
25.142061,65.261851,76.68456,Maize,Alluvial
23.093481,60.115938,65.497307,Maize,Lempung
18.050337,62.89367,84.236135,Maize,Alluvial
24.932158,73.804353,79.740787,Maize,Lempung
18.147101,71.094453,88.077537,Maize,Alluvial
18.283622,66.659528,80.975733,Maize,Lempung
18.833445,58.75082,79.75329,Maize,Alluvial
25.718958,67.221907,74.514908,Maize,Lempung
25.337977,68.49836,96.463802,Maize,Alluvial
23.891146,57.487758,102.830194,Maize,Lempung
21.535741,71.50906,102.485293,Maize,Alluvial
23.089749,63.104596,70.434736,Maize,Lempung
25.617074,63.471176,108.830376,Maize,Alluvial
21.445269,63.162155,65.889512,Maize,Lempung
18.518168,55.531281,90.988051,Maize,Alluvial
22.535105,67.992575,64.40866,Maize,Lempung
23.020383,61.89472,63.038434,Maize,Alluvial
24.893646,65.614188,87.929809,Maize,Lempung
25.771751,74.089114,107.493192,Maize,Alluvial
19.398517,62.357506,60.951975,Maize,Lempung
21.541562,59.640242,109.751539,Maize,Alluvial
23.797461,74.829137,91.763372,Maize,Lempung
18.980273,74.526008,94.262494,Maize,Alluvial
24.108592,73.131123,71.075622,Maize,Lempung
24.794708,70.045567,76.728601,Maize,Alluvial
21.631628,60.277664,69.218031,Maize,Lempung
25.375488,57.210256,101.700431,Maize,Alluvial
